album_type,album_name,album_year,song_name,song_lyrics
album,The Rolling Stones,1964,Carol,"Oh, Carol. Don't let him steal your heart away. I'm gonna learn to dance. If it takes me all night and day. Climb into my machine so we can groove on out. I know some swinging little joint where we can jump and shout. It's not too far back on the highway not so long a ride. You park the car out in the open you can walk inside. A little cutie takes your hat and you can thank her ma'am. 'Cause every time you make the scene you find the joint is jammed. Oh, Carol. Don't let him steal your heart away. I'm gonna learn to dance. If it takes me all night and day. Now, if you want to hear some music like the boys are playing. Hold tight, bang your foot don't let it carry you away. Don't let the heat overcome you when they play so loud. Won't the music intrigue you when they get a crowd. Well you can't dance I know you would you could. I got my eyes on you, baby, cause you dance so good. Oh, Carol. Don't let him steal your heart away. I'm gonna learn to dance. If it takes me all night and day. Oh, Carol. Don't let him steal your heart away. I've got to learn to dance. If it takes me all night and day"
album,The Rolling Stones,1964,Tell Me,"I want you back again. I want your love again. I know you find it hard to reason with me. But this time it's different, darling you'll see. You gotta tell me you're coming back to me. You gotta tell me you're coming back to me. You gotta tell me you're coming back to me. You gotta tell me you're coming back to me. You said we're through before. You walked out on me before. I tried to tell you, but you didn't want to know. This time you're different and determined to go. You gotta tell me you're coming back to me. You gotta tell me you're coming back to me. You gotta tell me you're coming back to me. You gotta tell me you're coming back to me. I wait as the days go by. I long for the nights to go by. I hear the knock on my door that never comes. I hear the telephone that hasn't rung. You gotta tell me you're coming back to me. You gotta tell me you're coming back to me. You gotta tell me you're coming back to me. You gotta tell me you're coming back to me"
album,The Rolling Stones,1964,Can I Get A Witness,"Ah ah listen to everybody (body). Especially you girls (girl). It's not right to be left alone. When the one you love is never home. I loved to hard my friends sometime say. But I believe, I believe. That a woman should be loved that way. But it hurts me so inside. To see you treat me so unkind. Somebody, somewhere tell her it ain't fair. Can I get a witness (can I get a witness). I want a witness (can I get a witness). I want a witness (can I get a witness). Somebody (can I get a witness). Is it right to be treated so bad. When you give it everything you had. If I talks in my sleep. 'Cuz I haven't seen my baby all week. Now you chicks you all agree. This ain't the way it's supposed to be. Let me hear you. Let me hear you say, ""yeah yeah"". Up early in the morning. Well they're all in my mind. Just to find her out all night. Well I've been crying. But I believe. A women's a man's best friend. I'm gonna stick by her. 'Till the very end. Well she caused me so much misery. I forget how it's supposed to be. Somebody, somewhere. Tell her it ain't fair. Can I get a witness. Can I get a witness (can I get a witness). I want a witness (can I get a witness). Witness, witness (can I get a witness). Witness, witness (can i get a witness). Everybody knows, especially you girls. That a love can be sad. But half a loves is twice as bad. Now you chicks you all agree. That ain't the way love's supposed to be. Let me hear ya. Let me hear you say ""yeah yeah"". I want a witness (can I get a witness). I want a witness (can I get a witness). Yeah I want a witness (I want a witness). Somebody (can I get a witness). Is it right to be treated so bad. When you give it everything you had. If I talk, in my sleep. 'Cuz i haven't seen my baby all week. Yeah she caused me so much misery. That ain't the way it's supposed to be. Let me hear. Let me hear you say ""yeah yeah"". I want a witness (can I get a witness). I want a witness (can I get a witness). I want be (can I get a witness). I want a witness (can I get a witness). Witness, witness. I want a witness"
album,The Rolling Stones,1964,You Can Make It If You Try,"You can make it if you try. You can make it if you try. You can make it if you try. Yeh, yeh you can make it if you try. Sometime you had to fall. Don't you know sometime you want to cry. Don't it make you feel so bad sometime. You wanna lay down and die. Yeh, yeh, you can make it if you try, ummmmmmm. If you're baby treats you wrong. Don't run around being blue. Remember my friend. Everybdody can't win. 'Cuz you know sometime, sometime. You got to lose. You can make it if you try. They always told me. I could make it if I tried. I'm going to make it if i try. Yeh, yeh, i'm gonna make it if I try. If you try"
album,The Rolling Stones,1964,Walking The Dog,"Baby, back. Dressed in black. Silver buttons all down her back. High hose, tippy toes. She broke the needle and she can sew. Walking the dog. I'm just a walking the dog. If you don't know how to do it. I'll show you how to walk the dog. C'mon now c'mon. I asked her mother for fifteen cents. I see you ever jumped the fence. I jumped so high, touched the skies. Didn't get back 'til a quarter to five. Walking the dog. I'm just a walking the dog. If you don't know how to do it. I'll show you how to walk the dog. C'mon c'mon now. Tell me mary, what's your twelve. How does your garden grow. What with silver bells and cockle shells. And pretty maids all in a row. Walking the dog. I'm just a walking the dog. If you don't know how to do it. I'll show you how to walk the dog. C'mon now c'mon. Baby, back. Dressed in black. Silver buttons all down her back. High hose, tippy toes. She broke the needle and she can sew. Walking the dog. I'm just a walking the dog. If you don't know how to do it. I'll show you how to walk the dog. C'mon now c'mon. Yeah just a walking. Uh just a walking. Uh just a walking. Now, if you don't know how to do it. I'll show you how to walk the dog. C'mon now c'mon. If you don't know how to do it. I'll show you how to walk the dog. C'mon now. If you don't know how to do it. I'll show you how to walk the dog"
album,12x5,1964,Around And Around,"I said the joint was rocking. Goin' round and round. Yeah, reeling and a rocking. What a crazy sound. And they never stopped rocking. Til the moon went down. Well it sounds so sweet. I had to take me chance. Rose out of my seat. I just had to dance. Started moving my feet. Whoa to clapping my hands. I said the joint was a rocking. Goin' round and round. Yeah, reeling and a rocking. What a crazy sound. And they never stopped rocking. Til the moon went down. Yeah at twelve o'clock. Yeah the place was packed. Front doors was locked. Yeah the place was packed. And when the police knocked. Those doors flew back. But they kept on rocking. Goin' round and round. Yeah, reeling and a rocking. What a crazy sound. And they never stopped rocking. Til the moon went down. And they go on rocking. Goin' round and round. Yeah, reeling and a rocking. What a crazy sound. And they never stopped rocking. Til the moon went down. Well the joint stayed a rocking. Goin' round and round. Yeah, reeling and a rocking. What a crazy sound. And they never stopped rocking. Til the moon went down"
album,12x5,1964,Confessin' The Blues,"Machine Gun Kelly - ""Why Are You Here"". NF - ""PAID MY DUES"". Kehlani - ""All Me"". Alec Benjamin - ""Mind Is A Prison"". Alan Walker & Ava Max - ""Alone, Pt. II"""
album,12x5,1964,Empty Heart,"A empty heart is like an empty life. I said a empty heart is like a empty life. Well, it makes you feel like you wanna cry. Like you wanna cry. Like you wanna cry. Well you've been my lover for a long long time. Well you've been my lover for a long long time. Well you left me all alone, and end my time. I want my lover again. I want my lover again. I want my lover again. I want it back again. Yeah, a little stick. Yeah, a little bit darling. Take it down. Take it down. Yeah, take it down. Come on back to me, baby. Come on back to me, baby. Come on. Come on back to me. And I'll show ya. I'll show ya. That a empty heart means a empty life. Yeah an empty heart like a empty life. Oh, it makes you feel like you wanna die. Like you wanna die. Like you wanna die. (I wanna die)"
album,12x5,1964,Time Is On My Side,"Time is on my side, yes it is. Time is on my side, yes it is. Now you always say. That you want to be free. But you'll come running back (said you would baby). You'll come running back (I said so many times before). You'll come running back to me. Oh, time is on my side, yes it is. Time is on my side, yes it is. You're searching for good times. But just wait and see. You'll come running back (I won't have to worry no more). You'll come running back (spend the rest of my life with you, baby). You'll come running back to me. Go ahead, go ahead and light up the town. And baby, do everything your heart desires. Remember, I'll always be around. And I know, I know. Like I told you so many times before. You're gonna come back, baby. Cause I know. You're gonna come back knocking. Yeah, knocking right on my door. Yes, yes!. Well, time is on my side, yes it is. Time is on my side, yes it is. Cause I got the real love. The kind that you need. You'll come running back (said you would, baby). You'll come running back (I don't always said you would). You'll come running back (I won't have to worry no more). Yes time, time, time is on my side, yes it is. Time, time, time is on my side, yes it is. Oh, time, time, time is on my side, yes it is. I said, time, time, time is on my side, yes it is. Oh, time, time, time is on my side. Yeah, time, time, time is on my side"
album,12x5,1964,"Good Times, Bad Times","Machine Gun Kelly - ""Why Are You Here"". NF - ""PAID MY DUES"". Kehlani - ""All Me"". Alec Benjamin - ""Mind Is A Prison"". Alan Walker & Ava Max - ""Alone, Pt. II"""
