song_name,emotion,score
Gomper,sadness,0.650614
2000 Light Years From Home,sadness,0.678222
2000 Light Years From Home,joy,0.532255
2000 Light Years From Home,confident,0.951966
On With The Show,sadness,0.531745
On With The Show,joy,0.677661
On With The Show,confident,0.859164
Sympathy For The Devil,joy,0.546992
Sympathy For The Devil,anger,0.518921
Sympathy For The Devil,tentative,0.913412
No Expectations,sadness,0.589967
No Expectations,joy,0.624571
No Expectations,tentative,0.586281
Dear Doctor,sadness,0.603014
Parachute Woman,joy,0.588866
Jig-Saw Puzzle,sadness,0.554348
Jig-Saw Puzzle,joy,0.552476
Jig-Saw Puzzle,anger,0.549178
Jig-Saw Puzzle,tentative,0.802494
Street Fighting Man,sadness,0.581033
Street Fighting Man,joy,0.519157
Street Fighting Man,analytical,0.697586
Prodigal Son,sadness,0.621689
Prodigal Son,tentative,0.587739
Stray Cat Blues,tentative,0.884981
Factory Girl,fear,0.502637
Factory Girl,sadness,0.542008
Factory Girl,analytical,0.796925
Factory Girl,confident,0.877438
Salt Of The Earth,sadness,0.550018
Salt Of The Earth,tentative,0.58719
Salt Of The Earth,analytical,0.747826
Gimme Shelter,sadness,0.580226
Gimme Shelter,fear,0.640927
Gimme Shelter,joy,0.519591
Gimme Shelter,tentative,0.985163
Love In Vain,sadness,0.587292
Love In Vain,joy,0.622206
Love In Vain,confident,0.627908
Country Honk,joy,0.549746
Country Honk,tentative,0.624364
Live With Me,joy,0.593872
Let It Bleed,sadness,0.556987
Let It Bleed,joy,0.566391
Let It Bleed,confident,0.807211
Midnight Rambler,anger,0.552611
Midnight Rambler,fear,0.605634
Midnight Rambler,sadness,0.614071
Midnight Rambler,joy,0.547052
You Got The Silver,joy,0.629226
Monkey Man,joy,0.594301
Monkey Man,tentative,0.675235
You Can't Always Get What You Want,joy,0.579619
You Can't Always Get What You Want,tentative,0.969298
Jumping Jack Flash,fear,0.559879
Jumping Jack Flash,joy,0.59842
Jumping Jack Flash,confident,0.855712
Carol,sadness,0.577498
Carol,joy,0.625864
Stray Cat Blues,tentative,0.884981
Love In Vain,sadness,0.587292
Love In Vain,joy,0.622206
Love In Vain,confident,0.627908
Midnight Rambler,anger,0.552611
Midnight Rambler,fear,0.605634
Midnight Rambler,sadness,0.614071
Midnight Rambler,joy,0.547052
Sympathy For The Devil,joy,0.546992
Sympathy For The Devil,anger,0.518921
Sympathy For The Devil,tentative,0.913412
Live With Me,joy,0.593872
Little Queenie,sadness,0.560388
Little Queenie,joy,0.657078
Little Queenie,analytical,0.546765
Honky Tonk Women,tentative,0.71572
Street Fighting Man,sadness,0.581033
Street Fighting Man,joy,0.519157
Street Fighting Man,analytical,0.697586
Brown Sugar,joy,0.636038
Brown Sugar,tentative,0.958967
Sway,joy,0.6295
Sway,tentative,0.873632
Wild Horses,sadness,0.621572
Wild Horses,joy,0.611941
Wild Horses,tentative,0.733641
Wild Horses,analytical,0.564527
Can't You Hear Me Knocking,anger,0.506196
Can't You Hear Me Knocking,joy,0.563879
Can't You Hear Me Knocking,confident,0.654167
You Gotta Move,fear,0.525247
You Gotta Move,tentative,0.913597
Bitch,sadness,0.590212
Bitch,joy,0.551114
Bitch,anger,0.663301
Bitch,tentative,0.643746
I Got The Blues,sadness,0.575368
I Got The Blues,joy,0.613434
Sister Morphine,joy,0.618175
Sister Morphine,fear,0.535957
Sister Morphine,sadness,0.511347
Dead Flowers,sadness,0.5619
Moonlight Mile,anger,0.603193
Moonlight Mile,sadness,0.548355
Moonlight Mile,joy,0.552125
Moonlight Mile,tentative,0.836814
Rocks Off,joy,0.583231
Rocks Off,tentative,0.652657
Rip This Joint,sadness,0.573495
Rip This Joint,joy,0.547056
Rip This Joint,anger,0.550071
Shake Your Hips,joy,0.603147
Shake Your Hips,tentative,0.78545
Casino Boogie,anger,0.515164
Casino Boogie,sadness,0.692898
Tumbling Dice,joy,0.529993
Tumbling Dice,confident,0.780034
Sweet Virginia,anger,0.591006
Sweet Virginia,joy,0.624526
Torn And Frayed,joy,0.55007
Torn And Frayed,anger,0.500264
Torn And Frayed,sadness,0.579385
Torn And Frayed,tentative,0.729629
Sweet Black Angel,joy,0.619171
Loving Cup,sadness,0.534833
Loving Cup,joy,0.690537
Happy,joy,0.743986
Happy,confident,0.55158
Turd On The Run,sadness,0.561849
Turd On The Run,fear,0.57838
Turd On The Run,tentative,0.706892
